GPU: NVIDIA GeForce RTX 2070
--- REPRISE : Chargement du cerveau existant (save_terrapolis_models\model_latest.pt) ---
Modèle chargé avec succès ! Epsilon réglé à 0.3
Démarrage de l'entraînement...
--> Démarrage entraînement avec Epsilon = 0.3
Ep 2460 | Score: -5400 | Loss: 677612.75 | Eps: 0.10
Ep 2470 | Score: -3800 | Loss: 5516730.00 | Eps: 0.10
Ep 2480 | Score: -3200 | Loss: 2993165.75 | Eps: 0.10
Ep 2490 | Score: -6000 | Loss: 705539.25 | Eps: 0.10
Ep 2500 | Score: -3800 | Loss: 481605.50 | Eps: 0.10
Ep 2510 | Score: -2200 | Loss: 2961005.75 | Eps: 0.10
Ep 2520 | Score: 0 | Loss: 12008398.00 | Eps: 0.10
Ep 2530 | Score: -6600 | Loss: 6222816.00 | Eps: 0.10
Ep 2540 | Score: -7800 | Loss: 14950089.00 | Eps: 0.10
Ep 2550 | Score: 0 | Loss: 15851878.00 | Eps: 0.10
Ep 2560 | Score: -6000 | Loss: 3127800.25 | Eps: 0.10
Ep 2570 | Score: -5200 | Loss: 555079.06 | Eps: 0.10
Ep 2580 | Score: -8400 | Loss: 10535123.00 | Eps: 0.10
Ep 2590 | Score: 0 | Loss: 23020964.00 | Eps: 0.10
Ep 2600 | Score: -6600 | Loss: 2150421.00 | Eps: 0.10
Ep 2610 | Score: 0 | Loss: 14542644.00 | Eps: 0.10
Ep 2620 | Score: -7000 | Loss: 4160587.50 | Eps: 0.10
Ep 2630 | Score: -800 | Loss: 11521394.00 | Eps: 0.10
Ep 2640 | Score: 0 | Loss: 13143020.00 | Eps: 0.10
Ep 2650 | Score: -7800 | Loss: 9815203.00 | Eps: 0.10
Ep 2660 | Score: -5400 | Loss: 1626583.88 | Eps: 0.10
Ep 2670 | Score: -7000 | Loss: 19286874.00 | Eps: 0.10
Ep 2680 | Score: -5000 | Loss: 375635.81 | Eps: 0.10
Ep 2690 | Score: -3600 | Loss: 1795695.25 | Eps: 0.10
Ep 2700 | Score: -7400 | Loss: 11163488.00 | Eps: 0.10
Ep 2710 | Score: -6800 | Loss: 2808010.25 | Eps: 0.10
Ep 2720 | Score: -1000 | Loss: 14615858.00 | Eps: 0.10
Ep 2730 | Score: -6600 | Loss: 4186363.50 | Eps: 0.10
Ep 2740 | Score: -2800 | Loss: 3464742.25 | Eps: 0.10
Ep 2750 | Score: -2400 | Loss: 6659019.00 | Eps: 0.10
Ep 2760 | Score: 0 | Loss: 13147302.00 | Eps: 0.10
Ep 2770 | Score: 0 | Loss: 10771538.00 | Eps: 0.10
Ep 2780 | Score: 0 | Loss: 10970167.00 | Eps: 0.10
Ep 2790 | Score: -9800 | Loss: 26616164.00 | Eps: 0.10
Ep 2800 | Score: -1200 | Loss: 9845583.00 | Eps: 0.10
Ep 2810 | Score: -9400 | Loss: 18662462.00 | Eps: 0.10
Ep 2820 | Score: -1800 | Loss: 10733797.00 | Eps: 0.10
Ep 2830 | Score: -6400 | Loss: 443854.81 | Eps: 0.10
Ep 2840 | Score: -3400 | Loss: 6189571.50 | Eps: 0.10
Ep 2850 | Score: -8800 | Loss: 12622335.00 | Eps: 0.10
Ep 2860 | Score: -5800 | Loss: 1563423.50 | Eps: 0.10
Ep 2870 | Score: 0 | Loss: 14550672.00 | Eps: 0.10
Ep 2880 | Score: 0 | Loss: 14264686.00 | Eps: 0.10
Ep 2890 | Score: -5400 | Loss: 1892371.38 | Eps: 0.10
Ep 2900 | Score: -6200 | Loss: 5460926.00 | Eps: 0.10
Ep 2910 | Score: -7800 | Loss: 8812562.00 | Eps: 0.10
Ep 2920 | Score: 0 | Loss: 15886473.00 | Eps: 0.10
Ep 2930 | Score: 0 | Loss: 13837856.00 | Eps: 0.10
Ep 2940 | Score: -7800 | Loss: 13752982.00 | Eps: 0.10
Ep 2950 | Score: 0 | Loss: 13121955.00 | Eps: 0.10
Ep 2960 | Score: -8400 | Loss: 14068965.00 | Eps: 0.10
Ep 2970 | Score: -8800 | Loss: 14802307.00 | Eps: 0.10
Ep 2980 | Score: -200 | Loss: 15533573.00 | Eps: 0.10
Ep 2990 | Score: -3000 | Loss: 6617846.50 | Eps: 0.10
Ep 3000 | Score: -5200 | Loss: 513583.56 | Eps: 0.10
Ep 3010 | Score: -6200 | Loss: 1583996.88 | Eps: 0.10
Ep 3020 | Score: -6200 | Loss: 4493934.00 | Eps: 0.10
Ep 3030 | Score: 0 | Loss: 13655170.00 | Eps: 0.10
Ep 3040 | Score: -3200 | Loss: 1345951.25 | Eps: 0.10
Ep 3050 | Score: -2600 | Loss: 2227251.25 | Eps: 0.10
Ep 3060 | Score: -3200 | Loss: 1094305.38 | Eps: 0.10
Ep 3070 | Score: -8400 | Loss: 15665442.00 | Eps: 0.10
Ep 3080 | Score: -7600 | Loss: 14219922.00 | Eps: 0.10
Ep 3090 | Score: -10200 | Loss: 35154776.00 | Eps: 0.10
Ep 3100 | Score: -7200 | Loss: 9518718.00 | Eps: 0.10
Ep 3110 | Score: -7800 | Loss: 11139017.00 | Eps: 0.10
Ep 3120 | Score: 0 | Loss: 9787117.00 | Eps: 0.10
Ep 3130 | Score: -6600 | Loss: 4775624.00 | Eps: 0.10
Ep 3140 | Score: -600 | Loss: 8447113.00 | Eps: 0.10
Ep 3150 | Score: -2200 | Loss: 3241628.00 | Eps: 0.10
Ep 3160 | Score: -400 | Loss: 8283171.50 | Eps: 0.10
Ep 3170 | Score: -7000 | Loss: 13198733.00 | Eps: 0.10
Ep 3180 | Score: -1200 | Loss: 7186555.00 | Eps: 0.10
Ep 3190 | Score: -5000 | Loss: 152228.08 | Eps: 0.10
Ep 3200 | Score: 0 | Loss: 11053286.00 | Eps: 0.10
Ep 3210 | Score: -4800 | Loss: 356115.78 | Eps: 0.10
Ep 3220 | Score: -9200 | Loss: 19454608.00 | Eps: 0.10
Ep 3230 | Score: 0 | Loss: 23227944.00 | Eps: 0.10
Ep 3240 | Score: 0 | Loss: 18939692.00 | Eps: 0.10
Ep 3250 | Score: -2200 | Loss: 3161442.25 | Eps: 0.10
Ep 3260 | Score: -6600 | Loss: 11773509.00 | Eps: 0.10
Ep 3270 | Score: -2600 | Loss: 1891573.75 | Eps: 0.10
Ep 3280 | Score: 0 | Loss: 11614311.00 | Eps: 0.10
Ep 3290 | Score: -9600 | Loss: 26395456.00 | Eps: 0.10
Ep 3300 | Score: -5600 | Loss: 1982993.12 | Eps: 0.10
Ep 3310 | Score: 0 | Loss: 12557803.00 | Eps: 0.10
Ep 3320 | Score: -7200 | Loss: 7966673.50 | Eps: 0.10
Ep 3330 | Score: -7000 | Loss: 12429023.00 | Eps: 0.10
Ep 3340 | Score: -5200 | Loss: 464438.28 | Eps: 0.10
Ep 3350 | Score: 0 | Loss: 12421273.00 | Eps: 0.10
Ep 3360 | Score: -5600 | Loss: 1534764.38 | Eps: 0.10
Ep 3370 | Score: 0 | Loss: 13728067.00 | Eps: 0.10
Ep 3380 | Score: -3400 | Loss: 3043239.00 | Eps: 0.10
Ep 3390 | Score: 0 | Loss: 14598015.00 | Eps: 0.10
Ep 3400 | Score: -6000 | Loss: 1650534.50 | Eps: 0.10
Ep 3410 | Score: 0 | Loss: 12851013.00 | Eps: 0.10
Ep 3420 | Score: 0 | Loss: 12789578.00 | Eps: 0.10
Ep 3430 | Score: 0 | Loss: 11065127.00 | Eps: 0.10
Ep 3440 | Score: 0 | Loss: 14355571.00 | Eps: 0.10
Ep 3450 | Score: -7400 | Loss: 9881735.00 | Eps: 0.10
Ep 3460 | Score: -1600 | Loss: 5827810.50 | Eps: 0.10
Ep 3470 | Score: -7600 | Loss: 11887881.00 | Eps: 0.10
Ep 3480 | Score: -8200 | Loss: 10071285.00 | Eps: 0.10
Ep 3490 | Score: 0 | Loss: 13133343.00 | Eps: 0.10
Ep 3500 | Score: 0 | Loss: 14272666.00 | Eps: 0.10
Ep 3510 | Score: -8400 | Loss: 12722413.00 | Eps: 0.10
Ep 3520 | Score: 0 | Loss: 13117858.00 | Eps: 0.10
