CPU
--- REPRISE : Chargement du cerveau existant (save_terrapolis_models\model_latest.pt) ---
Modèle chargé avec succès ! Epsilon réglé à 0.3
Démarrage de l'entraînement...
--> Démarrage entraînement avec Epsilon = 0.3
Ep 1910 | Score: 43638 | Loss: 63396924.00 | Eps: 0.10
Ep 1920 | Score: 51592 | Loss: 150392624.00 | Eps: 0.10
Ep 1930 | Score: 33865 | Loss: 1243324672.00 | Eps: 0.10
Ep 1940 | Score: 40831 | Loss: 106877920.00 | Eps: 0.10
Ep 1950 | Score: 34426 | Loss: 623082880.00 | Eps: 0.10
Ep 1960 | Score: 50723 | Loss: 60839284.00 | Eps: 0.10
Ep 1970 | Score: 52608 | Loss: 29272314.00 | Eps: 0.10
Ep 1980 | Score: 57801 | Loss: 396530304.00 | Eps: 0.10
Ep 1990 | Score: 17060 | Loss: 814080128.00 | Eps: 0.10
Ep 2000 | Score: 116255 | Loss: 2129484416.00 | Eps: 0.10
Entraînement terminé.


============================================================
             BILAN DE L'ENTRAINEMENT
============================================================
TOTAL EPISODES      : 2000
------------------------------------------------------------
[+] SCORES > 50 000   : 26 parties (13.00%)
[-] SCORES <= 50 000  : 174 parties (87.00%)
------------------------------------------------------------
SCORE MOYEN       : 19 619
MEILLEUR SCORE    : 116 255
PIRE SCORE        : -26 648
============================================================
