CPU
--- REPRISE : Chargement du cerveau existant (save_terrapolis_models\model_latest.pt) ---
Mod le charg  avec succ s ! Epsilon r gl    0.3
D marrage de l'entra nement...
--> D marrage entra nement avec Epsilon = 0.3
Ep 2450 | Score: -58806 | Loss: 12302939136.00 | Eps: 0.10
Ep 2460 | Score: -62940 | Loss: 23288813568.00 | Eps: 0.10
Ep 2470 | Score: -76442 | Loss: 37452787712.00 | Eps: 0.10
Ep 2480 | Score: 278826 | Loss: 20415797248.00 | Eps: 0.10
Ep 2490 | Score: 278673 | Loss: 16875467776.00 | Eps: 0.10
Ep 2500 | Score: -94815 | Loss: 73877512192.00 | Eps: 0.10
Entra nement termin .

============================================================
             BILAN DE L'ENTRAINEMENT
============================================================
TOTAL EPISODES      : 2500
------------------------------------------------------------
[+] SCORES > 50 000   : 147 parties (58.80%)
[-] SCORES <= 50 000  : 103 parties (41.20%)
------------------------------------------------------------
SCORE MOYEN       : 121 447
MEILLEUR SCORE    : 279 654
PIRE SCORE        : -98 096
============================================================
